 0:  12:5, 26:14, 44:5
 1:  7:17
 2:  14:7, 19:6, 42:12
 3:  21:22
 4:  46:12
 5:  6:13, 45:14
 6:  5:13, 23:0, 43:0
 7:  1:17, 44:10
 8:  10:8, 28:8, 43:2, 48:14
 9:  15:14
10:  8:8, 24:8, 32:12, 40:12
11:  40:23
12:  0:5, 19:5
13:  15:14, 23:1, 25:9
14:  2:7
15:  9:14, 13:14
16:  43:13
17:  36:10
18:  23:6
19:  2:6, 12:5, 27:8, 47:19
20:  22:12, 24:8, 31:10, 36:9
21:  3:22, 23:12
22:  20:12
23:  6:0, 13:1, 18:6, 21:12, 34:14, 44:2, 46:10
24:  10:8, 20:8
25:  13:9, 37:13, 41:22
26:  0:14, 39:15
27:  19:8, 35:16
28:  8:8
29:  43:10
30:  44:19
31:  20:10
32:  10:12
33:  38:13, 46:12
34:  23:14
35:  27:16
36:  17:10, 20:9
37:  25:13
38:  33:13
39:  26:15
40:  10:12, 11:23
41:  25:22
42:  2:12
43:  6:0, 8:2, 16:13, 29:10
44:  0:5, 7:10, 23:2, 30:19
45:  5:14
46:  4:12, 23:10, 33:12
47:  19:19
48:  8:14, 49:59
49:  48:59, 50:94
50:  49:94
